title;budget;genres;original_language;release_date;revenue;runtime;vote_average;vote_count
Mobile Homes;0;Drama;en;2018-04-04;0;105;0.0;1
How to Talk to Girls at Parties;0;Comedy | Music | Romance | Science Fiction;en;2017-12-27;0;102;0.0;10
Machines;0;Documentary;hi;2017-11-30;0;71;0.0;0
Sweet Virginia;0;;en;2017-11-17;0;95;0.0;1
Call Me by Your Name;4696772;Romance | Drama;en;2017-10-27;0;130;0.0;18
Dina;0;Documentary;en;2017-10-20;0;101;0.0;2
Leatherface;0;Horror;en;2017-09-14;0;90;5.7;62
Porto;0;Romance | Drama;en;2017-09-14;0;75;7.8;5
Science Fiction Volume One - The Osiris Child;0;Science Fiction;en;2017-08-31;0;95;5.4;55
The Trip to Spain;0;Drama | Comedy;en;2017-08-31;0;115;7.0;6
Patti Cake$;0;Drama;en;2017-08-18;0;108;6.9;27
What Happened to Monday;0;Science Fiction | Thriller;en;2017-08-18;0;123;7.3;598
Ingrid Goes West;0;Drama | Comedy;en;2017-08-11;0;97;7.6;18
Good Time;0;Drama | Thriller | Crime;en;2017-08-11;10893246;99;7.3;46
The Glass Castle;0;Drama;en;2017-08-10;9705840;127;6.5;29
A Gray State;0;Documentary;en;2017-08-07;0;93;0.0;1
Chronically Metropolitan;0;Drama | Comedy;en;2017-08-04;0;90;5.8;9
Kidnap;21000000;Drama | Thriller;en;2017-08-04;24527158;95;6.0;244
Columbus;0;Drama;en;2017-08-04;0;104;6.0;4
London Town;0;Drama | Music;en;2017-08-03;0;92;6.3;16
The Dark Tower;60000000;Action | Western | Science Fiction | Fantasy | Horror;en;2017-08-03;71000000;95;5.7;688
Wind River;11000000;Action | Crime | Mystery | Thriller;en;2017-08-03;184770205;111;7.4;181
Hostages;0;Drama;en;2017-08-02;0;104;9.0;3
S.W.A.T. - Under Siege;0;Action | Crime | Thriller;en;2017-08-01;0;89;5.2;21
Cop and a Half - New Recruit;0;Crime | Comedy | Action | Family;en;2017-08-01;0;97;6.0;1
